,customer_id
194,1614639
195,1617982
196,1633161
197,1650593
198,1650799
199,1656113
200,1671494
201,1684710
202,1685718
203,1696164
204,1719286
205,1738973
206,1755331
207,1768250
208,1769372
209,1787586
210,1802507
211,1804029
212,1815306
213,1819514
214,1821729
215,1847175
216,1875462
217,1887018
218,1888748
219,1896550
220,1897562
221,1923931
222,1939476
223,1952728
224,1958520
225,1959047
226,1967442
227,1989280
228,2002580
229,2007830
230,2039689
231,2056234
232,2059942
233,2064047
234,2086574
235,2092295
236,2092555
237,2114054
238,2125562
239,2128729
240,2148247
241,2158147
242,2208724
243,2232006
244,2232389
245,2239775
246,3109291
247,3244679
248,5086286
249,5088547
250,5112603
251,5126587
252,5139401
253,5153284
254,5170758
255,5201889
256,5204868
257,5215679
258,5221939
259,5226479
260,5234680
261,5236193
262,5245372
263,5249248
264,5279338
265,5292224
266,5318552
267,5324709
268,5327518
269,5329878
270,5334406
271,5338478
272,5339453
273,5354313
274,5359096
275,5362187
276,5366216
277,5434188
278,5503112
279,5526463
280,5527269
281,5530915
282,5531392
283,5540911
284,5548601
285,5550101
286,5554778
287,5554915
288,5556619
289,5609297
290,5619715
291,5625405
292,5632080
293,5660729
294,5662528
295,5671901
296,5683600
297,5687624
298,5690661
299,5708462
300,5708589
301,5710075
302,5726145
303,5737060
304,5807605
305,5810353
306,5815488
307,5818201
308,5822907
309,5824379
310,5867314
311,5890299
312,5900832
313,5904120
314,5948475
315,5948894
316,5953228
317,5961318
318,5968050
319,5984232
320,5990721
321,5994545
322,6013079
323,6016145
324,6032224
325,6047040
326,6057607
327,6061894
328,6075105
329,6081632
330,6103456
331,6107480
332,6131292
333,6164730
334,6166849
335,6168486
336,6170315
337,6185401
338,6188236
339,6195106
340,6203072
341,6212296
342,6235429
343,6238542
344,6247754
345,6284059
346,6300810
347,6305934
348,6329342
349,6362675
350,6365559
351,6385782
352,6394931
353,6414836
354,6438332
355,6440687
356,6449590
357,6451582
358,6465949
359,6476954
360,6515063
361,6536359
362,6548632
363,6550844
364,6561370
365,6580091
366,6581925
367,6585391
368,6586624
369,6602129
370,6625450
371,6630879
372,6642786
373,6648041
374,6662873
375,6680973
376,6686220
377,6692692
378,6697339
379,6721952
380,6722335
381,6741940
382,6762530
383,6762784
384,6771701
385,6787517
386,6809609
387,6860940
388,6877310
389,6892931
390,6910457
391,6928884
392,6949621
393,6962393
394,6985822
395,6985973
396,6989910
397,6997739
398,7004833
399,7009260
400,7037410
401,7044178
402,7066710
403,7111003
404,7114215
405,7155145
406,7156567
407,7215260
408,7232773
409,7240579
410,7273213
411,7310666
412,7327026
413,7360411
414,7377838
415,7379216
416,7401471
417,7404006
418,7417619
419,7447648
420,7448033
421,7450210
422,7450318
423,7458045
424,7473606
425,7473950
426,7508839
427,7517559
428,7518133
429,7519369
430,7533570
431,7538623
432,7568602
433,7570643
434,7591612
435,7599242
436,7601680
437,7619227
